Description,Price,Rating,Url
Redmi 9A(Midnight Black 3GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"₹7,799",4.2 out of 5 stars,https://www.amazon.com/Redmi-9A-Midnight-3GB-32GB/dp/B08697KLZP/ref=sr_1_10?dchild=1&keywords=smartphone&qid=1627236459&sr=8-10
New Apple iPhone 12 Mini (256GB) - Green,"₹72,999",4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A037181634VKBU56I84XG&url=%2FNew-Apple-iPhone-Mini-256GB%2Fdp%2FB08L5W2Z3H%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1627236459%26sr%3D8-11-spons%26psc%3D1&qualifier=1627236459&id=6426516574708302&widgetName=sp_mtf
"Tecno Spark 7T(Jewel Blue, 4GB RAM, 64GB Storage) 6000 mAh Battery| 48 MP AI Dual Rear Camera, 6.52 Handy Size","₹8,999",4.0 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00949492FTNID88CBZ3H&url=%2FTecno-Spark-Storage-Battery-Camera%2Fdp%2FB096LS7N6Z%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1627236459%26sr%3D8-12-spons%26psc%3D1&qualifier=1627236459&id=6426516574708302&widgetName=sp_mtf
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime","₹19,999",4.4 out of 5 stars,https://www.amazon.com/Samsung-Galaxy-Electric-Blue-128GB-Storage/dp/B085J1J32G/ref=sr_1_13?dchild=1&keywords=smartphone&qid=1627236459&sr=8-13
"Samsung Galaxy M11 (Violet, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","₹9,999",4.2 out of 5 stars,https://www.amazon.com/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCC68B/ref=sr_1_14?dchild=1&keywords=smartphone&qid=1627236459&sr=8-14
"Samsung Galaxy M11 (Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","₹9,999",4.1 out of 5 stars,https://www.amazon.com/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KDZGVK/ref=sr_1_15?dchild=1&keywords=smartphone&qid=1627236459&sr=8-15
Redmi 9A (Sea Blue 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"₹6,999",4.2 out of 5 stars,https://www.amazon.com/Redmi-9A-2GB-32GB-Storage/dp/B086978F2L/ref=sr_1_16?dchild=1&keywords=smartphone&qid=1627236459&sr=8-16
"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display","₹11,499",4.3 out of 5 stars,https://www.amazon.com/Redmi-Note-Pebble-Grey-Storage/dp/B086977TR6/ref=sr_1_17?dchild=1&keywords=smartphone&qid=1627236459&sr=8-17
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","₹8,999",4.2 out of 5 stars,https://www.amazon.com/Redmi-Carbon-Black-64GB-Storage/dp/B086985T6R/ref=sr_1_18?dchild=1&keywords=smartphone&qid=1627236459&sr=8-18
Redmi 9A (Midnight Black 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"₹6,999",4.2 out of 5 stars,https://www.amazon.com/Redmi-9A-Midnight-2GB-32GB/dp/B08697N43G/ref=sr_1_19?dchild=1&keywords=smartphone&qid=1627236459&sr=8-19
